,id_tei,lcnaf_uri,organization_name,other_names,date_founded,date_dissolved,associated_places,org_type,bio_notes,data_notes,see_also,citations,notes
,meetbwym,,Baltimore Yearly Meeting of Women Friends,,1672,,,Yearly meeting,"What became Baltimore Yearly Meeting opened in 1672 as the Half Yearly Meeting held at West River and ""Tredhaven"" (Third Haven). It became Maryland Half-Yearly Meeting in 1763, and began to hold only one annual meeting in 1774. The name ""The Yearly Meeting of Friends held in Baltimore Town for the Western Shore of Maryland and Adjacent Areas of Pennsylvania and Virginia"" (commonly rendered as ""Baltimore Yearly Meeting"") was adopted in 1790 when BYM transferred the Eastern Shore Quarterly Meeting of Friends to Philadelphia Yearly Meeting and accepted the transfer of Philadelphia Yearly Meeting's Fairfax and Warrington Quarterly Meeting of Friendss. They accepted the transfer of Nottingham Quarterly Meeting of Friends from Philadelphia Yearly Meeting in 1819.",,,http://trilogy.brynmawr.edu/speccoll/bym/BYMym.xml#series2,
,bms,,Baltimore Yearly Meeting of Friends. Meeting for Sufferings,,1778,,,Yearly meeting committee,A Meeting for Sufferings of Baltimore Yearly Meeting was named in 1778. It kept a record of fines and other hardships suffered by members of Baltimore Yearly Meeting for the sake of their testimonies. Later it functioned more as an executive committee of the Yearly Meeting when the Yearly Meeting was not in session.,,bym,,
,bym,,Baltimore Yearly Meeting of Friends,,1672,,,Yearly meeting,"What became Baltimore Yearly Meeting opened in 1672 as the Half Yearly Meeting held at West River and ""Tredhaven"" (Third Haven). It became Maryland Half-Yearly Meeting in 1763, and began to hold only one annual meeting in 1774. The name ""The Yearly Meeting of Friends held in Baltimore Town for the Western Shore of Maryland and Adjacent Areas of Pennsylvania and Virginia"" (commonly rendered as ""Baltimore Yearly Meeting"") was adopted in 1790 when BYM transferred the Eastern Shore Quarterly Meeting of Friends to Philadelphia Yearly Meeting and accepted the transfer of Philadelphia Yearly Meeting's Fairfax and Warrington Quarterly Meeting of Friendss. They accepted the transfer of Nottingham Quarterly Meeting of Friends from Philadelphia Yearly Meeting in 1819.",,,https://quakermeetings.com,
,bymindian,,Baltimore Yearly Meeting of Friends. Committee on Indian Concerns,,1795,,,Yearly meeting committee,"Baltimores's Committee on Indian Concerns, first appointed in 1795.",,bym,,
,bapt,,Baptist Church,,1609,,,Religious group,"A Protestant Christian sect distinguished by the tenet that baptism should only be performed on professed believers (as opposed to infants) and by complete water immersion. Most worship congregationally, but as there is no strict church structure or creed, many different Baptist organizations formed between the 17th and 19th centuries. In 1638, Roger Williams established the first Baptist congregation in North America. Their ranks swelled after the First Great Awakening in the mid-18th century, which in turn propelled a series of Canadian Missions in the 1760s.",,,https://en.wikipedia.org/wiki/Baptists;http://www.britannica.com/topic/Baptist,
,meetbeach,,Beach Spring Friends meeting,Beech Spring Friends meeting,,,,Local meeting,"Meeting for Worship in Pasquotank County, North Carolina, visited by Joshua Evans. ",,ncym,quakermeetings.com,
,meetbeav,,Beaver Harbor Friends meeting,,1783,,,Local meeting,"Following the American Revolution, some American Friends who were Loyalists or otherwise prefered living under British rule, moved to Beaver Harbor (Pennsfield), New Brunswick, and established a Quaker meeting there. ",,nyym,http://www.prudeinc.org/uploads/6/0/9/2/6092774/the_loyalist_quaker_pennfield_colony.pdf,
,meetbenne,,Bennets Creek Friends meeting,,1738,,,Local meeting,"Bennetts Creek, located in Suffolk County, Virginia, was established in 1738 under the care of Chuckatuck (Somerton) Monthly Meeting.",,vym,quakermeetings.com,
,meetberwi,,Berwick Friends meeting,,1849,,,Local meeting,"Part of Catawissa and then Roaring Creek Monthly Meetings, the meeting at Berwick in Columbia County, Pennsylvania, was established as a preparative meeting from 1849 to 1869.",,pym,quakermeetings.com,
,meetbirmi,,Birmingham Friends meeting,,1727,,,Local meeting,"Birmingham Preparative Meeting was created in 1727 by Concord Monthly Meeting in Chester County, Pennsylvania. Birmingham Monthly Meeting was established in 1815.  ",,pym,http://trilogy.brynmawr.edu/speccoll/mm/birmipm.xml,
,blacm,,Black Creek Friends meeting,,1719,,,Local meeting,"Black Creek, also called Sedley, was located in Southampton County, Virginia. It existed as a meeting for worship under Curles as early as 1719. In 1761 it constituted a preparative meeting under Somerton Monthly Meeting. ",,vym,quakermeetings.com,
,meetblack,,Black Water Friends meeting,,1665,,,Local meeting,"Friends at Blackwater in Sussex County, Virginia, began to meet as early as the 1660s. The meeting was allso called Surry County and Pagan Creek It became a monthly meeting about 1704.",,vym,quakermeetings.com,
,meetbloom,,Blooming Grove Friends meeting,,1812,,,Local meeting,"Blooming Grove was a preparative meeting in Orange County, New York, under Cornwall Monthly Meeting from 1812 to after 1822. ",,nyym,quakermeetings.com,
,meetbord,,Bordentown Friends meeting,,1775,,,Local meeting,"The Quakers at Bordentown in Burlington County, New Jersey, were part of Chesterfield Monthly Meeting. Bordentown functioned as a preparative meeting from 1775-1778 and then again from 1804-1878.",,pym,quakermeetings.com,
,bosmiss,,Boston Missionary Society,Massahusetts Missionary Society,1779,,,Religious group,Organized in Boston in 1779. In 1800 the Society first sent Rev. Jacob Cram and Rev. David Avery to minister to Native Americans between Whitestown and the Genesee River. In 1811 the Society shifted its attention away from Western New York. ,,,"A History of the Purchase and Settlement of Western New York: And of the ..., by James Harvey Hotchkin (1848)",
,meetbrad,,Bradford Friends meeting,,1719,,,Local meeting,"Friends began to worship at the ""Forks of the Brandywine"" in Chester County, Pennsylvania, in 1719. Bradford (or Romansville) was a preparative meeting under Kennett Monthly Meeting from 1726. It became a monthly meeting in 1737.",,pym,quakermeetings.com,
,meetbris,,Bristol Friends meeting,,1704,,,Local meeting,"Bristol, in Bucks County, Pennsylvania, was a place of worship as early as 1704. It was allowed a preparative meeting under Falls Monthly Meeting, in 1715.",,pym,quakermeetings.com,
,brit,,British Government,,,,,Government,"A longtime world hegemon, the British Government of the 18th and 19th centuries administrated the largest empire in history. Beginning in the early 17th century it was active in the New World, establishing colonies on the east coast of North America and interacting with Native Americans, the Iroquois famously one of its major allies. Following the French and Indian War, it gained control of Canada but also doubled its debt, leading to increased taxes on the colonies and thus the Revolutionary War. After losing the United States the Empire shifted most of its attention to eastern colonial projects, although it still administrated Canada, where loyalist allies (both colonial and Indian) were rewarded with land. The Empire clashed with the United States in the War of 1812 when the latter refused to stop trading with France. ","The organizational type, ""government,"" includes governmental bodies and other agents of the government like elected or appointed officials and members of the military.",,https://en.wikipedia.org/wiki/British_Empire;https://en.wikipedia.org/wiki/French_and_Indian_War#Consequences,
,brotherton,http://id.loc.gov/authorities/subjects/sh85017232,Brothertown indians,Brotherton;Nientken;Wapanachki,,,,Indian group,"The Brothertown or Brotherton Indians, now mostly located in Wisconsin, are a Christian tribe formed from the remnants of several Algonquian-speaking New England peoples—Mohegans, Pequots, and Narragansetts—after severe disease- and war-related depopulation in the late 18th century. Led by the hereditary Mohegans Samson Occom (also a Presbyterian minister) and Joseph Johnson, and faced with the pressure of advancing settlers, the Brothertown Indians emigrated to New York land granted by the Oneida in the 1780s where they founded the eponymous settlement. In 1831 they moved to Wisconsin, again followed by the tide of settlers. To preempt future resettlement attempts, the Brothertown petitioned for individual rather than tribal land ownership as well as United States citizenship, both of which were granted in 1839 at the cost of losing their status as a sovereign nation. Brothertown sometimes refers to the settlement in New Jersey existing before the inhabitants moved to the Brothertown settlement in New York State.",,mohegan;algonquin;delaware;montaukind;stockbridge;shin;mahican,https://en.wikipedia.org/wiki/Brothertown_Indians;CD;https://www.mpm.edu/wirp/ICW-157.html,
,meetbucki,,Buckingham Friends meeting,,1705,,,Local meeting,Buckingham became a monthly meeting in 1720. They constituted a preparative meeting under Falls from 1705.,,pym,quakermeetings.com,
,buckqm,,Bucks Quarterly Meeting of Friends,,1683,,,Quarterly meeting,Bucks Quarterly Meeting of Friends was established by Philadelphia Yearly Meeting in 1683.,,pym,http://trilogy.brynmawr.edu/,
,buffc2,,Buffalo indians,,,,,Indian group,"Primarily Seneca living on the Buffalo Creek Reservation (lost in 1838). Also included at various times Munsee Indians, Tuteo-Saponi, and Cayuga.",,seneca;cayugaind;manah;munseeind;delaware,,
,meetburle,,Burleigh Friends meeting,,1699,,,Local meeting,"Blackwater Monthly Meeting was also called Surry, Burleigh, and Gravelly Run Meeting before 1800. Blackwater Monthly Meeting was held alternately at Blackwater and Burleigh until 1800. The Upper Monthly Meeting was formed in 1800 with the separation of the Burleigh and Gravelly Run Preparative Meetings from Blackwater. Those meetings were held alternately at Burleigh in Prince George County and Gravelly Run in Dinwiddie County. Friends met for worship at Burleigh as early as 1699. It constituted a preparative meeting on its own in 1757.",,vym,http://trilogy.brynmawr.edu/,
,meetburl,,Burlington Friends meeting,,1677,,,Local meeting,A meeting for worship was established at Burlington circa 1677. The meeting became part of Burlington Monthly Meeting in 1678. A preparative meeting was established in 1776.,,pym,http://trilogy.brynmawr.edu/,
,meetbush,,Bush River Friends meeting,,1765,,,Local meeting,"The South Carolinian area of Bush River was settled by Quakers in the 1760s, served as a Monthly Meeting from 1770-1822, and even functioned as host of a Quarterly Meeting of Friends for all South Carolina and Georgia Quakers from 1791 to 1808. Opposed to slavery, its members eventually moved west to Illinois, Indiana, and Ohio. ",,ncym,http://www.hmdb.org/Marker.asp?Marker=13288,
,meetbutte,,Butternuts Friends meeting,,1810,,,Local meeting,"Set off from the Duanesburg Monthly Meeting in 1810, Butternuts Monthly Meeting was comprised of Butternuts, Madison, Burlington and Otego Preparative Meetings. The Orthodox Butternuts Monthly Meeting became Morris Monthly Meeting in 1881, and later West Laurens Monthly Meeting in 1889. The Hicksite Butternuts Monthly Meeting became Laurens Monthly Meeting but was laid down in 1857.",,nyym,http://www.swarthmore.edu/library/friends/New YorkYM/buttemm.xml,
,cammeet,,Camden Friends meeting,,,,,Local meeting,"Meeting located on Penobscot Bay in Camden, Maine.",,neym,,
,cammeet2,,Camden Friends meeting,,,,,Local meeting,"Small meeting in or near Washington County, New York, close to White Creek.",,nyym,,
,meetcat,,Catawissa Friends meeting,Cattawessy,1775,,,Local meeting,"Catawissa Monthly Meeting was established in 1795 by Philadelphia Quarterly Meeting of Friends. Its first business sessions were held in 1796. The monthly meeting was discontinued on 12mo 24, 1808, after many of its members had removed to Canada and Ohio. Catawissa was an indulged meeting from 1775-1780,  and then formed a preparative meeting after 1794.",,pym,,
,cayugaind,http://id.loc.gov/authorities/subjects/sh85021559,Cayuga indians,Gueugwehono;Kayohkhó·nỏ;Kayokwehó·nỏ;Cayuga Nation,,,,Indian group,"Members of the Haudenosaunee Confederacy, based along Cayuga Lake in the Finger Lakes region between allies Onondaga to the East and Seneca to the West. Due to the richness of game in their territory, the Cayuga relied somewhat more on hunting than their allies. As with the rest of the Iroquois, most Cayuga were eventually drawn into the Revolutionary War on the British side, and in 1779 were raided by colonial forces. In the aftermath, most Cayuga either immigrated to Canada or cohabited with the Seneca, their Finger Lake homeland having been sold in a series of illegal transactions with the New York state government between 1795 and 1841.",,sxntns,https://en.wikipedia.org/wiki/Cayuga_people,
,meetcente,,Centre Friends meeting,Center,,,,Local meeting,"Centre was a seasonal meeting established in Delaware by the Newark Monthly Meeting in 1687. Later on in 1707, a preparative meeting was established.",,,http://trilogy.brynmawr.edu/speccoll/mm/centrmdpm.xml ,
,meetcm,,Chappaqua Friends meeting,,1750,,,Local meeting,Chappaqua Preparative Meeting was established circa 1750 as a part of Purchase Monthly Meeting. It became part of Chappaqua Monthly Meeting on its establishment in 1785.,,nyym,http://trilogy.brynmawr.edu/,
,meetchena,,Chenango Friends meeting,,,,,Local meeting,"Meeting for worship in Chenango, New York about five miles west of the Unadilla RIver.",,nyym,,
,cherokee,http://id.loc.gov/authorities/subjects/sh85023080,Cherokee indians,,,,,Indian group,"An Iroquoian tribe residing in the Southeastern United States, although oral tradition states they emigrated from the Great Lakes. The only Iroquoian-speaking member of the five “Civilized Tribes”—Native American groups who to an extent adopted Euopean culture and technology—the Cherokee adapted their government into the form of a written constitution, and in 1821 developed an easy-to-learn written language. Despite their efforts at acculturation and services to Americans during the 1813 Creek War, however, President Jackson demanded major land concessions and the state of Georgia refused to acknowledge Cherokee land titles. The tribe was eventually coerced into signing the Treaty of New Echota (1835), which agreed to Oklahoma resettlement and launched the Trail of Tears in 1838. After marching across Tennessee, Kentucky, Illinois, Missouri, and Arkansas, the Cherokee finally settled around Tahlequah, Oklahoma months later.",,,https://en.wikipedia.org/wiki/Cherokee;http://www.tolatsga.org/Cherokee2.html,
,chesm,,Chester Friends meeting,Chester Monthly Meeting;Friends of Chester,1681,,,Local meeting,"Chester Monthly Meeting was established as a monthly meeting for Marcus Hook and Upland by the general meeting held at Burlington in 1681. Its first business sessions were held in 11mo, 1681/2. In 12mo, 1683/4, the meeting became part of Chester [Concord] Quarterly Meeting of Friends. A preparative meeting at Chester was established in 12mo, 1698/9. ",,pym,http://trilogy.brynmawr.edu/,
,meetchesf,,Chesterfield Friends meeting,,1684,,,Local meeting,"Chesterfield Monthly Meeting was organized in 1684 by Burlington Quarterly Meeting of Friends. Chesterfield Preparative Meeting was first established in 1726, then discontinued in 1738. It was re-established in 1763 and again discontinued, then was established for a third time in 1775. ",,pym,,
,chickah,,Chickahominy indians,Chickalaminies,,,,Indian group,"The Chickahominy (“Coarse Ground Corn People”) were an Algonquian-speaking tribe based in the Tidewater area of eastern Virginia. They interacted with the English Jamestown settlement throughout the 17th century, first as allies and later as displaced enemies in the Anglo-Powhattan war, which concluded with the Treaty of 1646 and a new territory in the Pamunkey Neck area. In 1677 the tribe moved to the Mattaponi River, and after losing title to their reservation lands in 1718 either merged with the neighboring Pamunkey or began to finally settle at Chickahominy Ridge, only a few miles from the original homeland. This area became fairly developed by 1820, with standing homes and an established church.",,,https://en.wikipedia.org/wiki/Chickahominy_people ; http://virginiaindians.pwnet.org/today/chickahominy.php,
,chick,http://id.loc.gov/authorities/subjects/sh85023284,Chickasaw indians,Chicachas;Chicasa;Chichacha;Chickesaw;Chikasaw,,,,Indian group,"Located in the Southeastern Woodlands of Mississippi, Alabama, and Tennessee. The Chickasaw were one of the Five Civilized Tribes, a group of Indian tribes who had to an extent accepted European culture and technology. Muskogean-speakers. These renowned warriors were longtime allies of England, and adroitly played on international rivalries by variously signing treaties with Spain and US between the 1780s and 1800s. By 1798, the Chickasaw recognized the mania for land among American settlers and substitute cattle ranching and cotton farming for their old deerskin economy. The early 19th century saw Protestant missionaries teaching the Chickasaw Christianity, literacy, arithmetic, and domestic practices. When the Mississippi government invalidated all Indian land claims in 1829 and the US Government passed the Indian Removal Act in 1830, the Chickasaw signed a treaty in 1832 ceding all of their Mississippi land rights in return for money to offset the costs of removal and new territory purchases. This land was not found until 1837, when the Choctaws agreed to sell the westernmost part of their land in Doaksville, Oklahoma. ",,,"https://en.wikipedia.org/wiki/Chickasaw"",""https://en.wikipedia.org/wiki/Chickasaw ; http://mshistorynow.mdah.state.ms.us/articles/8/chickasaws-the-unconquerable-people",
,chili,,Chilicothe indians,Chihohocki,,,,Indian group,"Chillicothe, Chalahgawtha, or “Principal Place.” This name signified one of five bands comprising the Algonquian-speaking Shawnee tribe that inhabited the Ohio River Valley, as well as designated the particular village in which the current Chillicothe chief was living in. As a result, there are several different Chillicothes mentioned in historical records. Some examples include Old Chillicothe—famous for its role in Revolutionary War history—on the banks of Little Miami River, and later ones on the Great Miami, St. Mary’s, and Maumee Rivers. Each band in the Shawnee performed a specialized function for the tribe, with the Chillicothe often producing leaders like the famous Chief Blackfish (1729-1779).",,shawnee,https://en.wikipedia.org/wiki/Chalahgawtha,
,choctaw,http://id.loc.gov/authorities/subjects/sh85024609,Choctaw indians,Flat Heads,,,,Indian group,"Sometimes known as Flat Heads, autonym Chahta. A Muskogean-speaking people originally from the Southeastern United States, and considered descendants of the Mississippian Mound Builder culture. They fought on both sides of Revolutionary War. The Choctaw were considered one of the “Five Civilized Tribes,” and signed the Hopewell Treaty (1786) with the United States to establish friendship and clarify borders. They fought against Tecumseh in his 1811 uprising and aided the US in the War of 1812. The Choctaw were forced to cede half of their original territory through the Treaty of Doak’s Stand (1820), and in 1830 ceded it altogether through the Treaty of Dancing Rabbit Creek. The Treaty split the Choctaw into two groups, as one clause provided the option of US citizenship and retention of individual land rights if people assimilated. Some Choctaw accepted the citizenship clause and stayed in Mississippi, while those who chose to retain sovereignty moved to Oklahoma along the “Trail of Tears.” ",,,https://en.wikipedia.org/wiki/Choctaw;https://www.accessgenealogy.com/native/choctaw-tribe.htm,
,chirs,,Christian Party,Christian Indians,,,,Indian group,"In the early 1800s, the Seneca and other Iroquois people were politically divided into the so-called ""Pagan"" and ""Christian"" Parties.   The Christians were more willing to adopt non-Indian ways of working and behavior, more friendly toward Christian missionary and sometimes more willing to consider removal to the west.  The Pagan Party did not entirely reject the adoption of new methods, particularly of farming, but were more insistant on remaining distinct from the European American culture and more likely to resist suggestions migrating from their New York Reservations.  The Pagan Party also tended to be followers of, or at least sympathetic to, the Longhouse Religion and the ""Code"" of Handsome Lake. ",,seneca;oneida;sxntns,https://www.mpm.edu/wirp/ICW-156.html;Handbook of the North American Indians,
,meetcoalb,,Coalbrookdale Friends meeting,,1717,,"Shropshire, England",Local meeting,A small Meeting held by the ironworking Quakers of Coalbrookdale. First licensed at Abraham Darby's house in 1717. Abraham II built a meeting house in 1741,,lym,,
,meetcoey,,Coeymans Friends meeting,Coyeman;Cojemans;Quemanstown;Coeyman's patent,1790,,,Local meeting,Coeymans Preparative Meeting was reportedly established circa 1790 as a part of Creek Monthly Meeting. It became a part of Hudson Monthly Meeting on its establishment in 1793. Coeymans Monthly Meeting was established in 1799. ,,nyym,http://trilogy.brynmawr.edu/,
,masscw,,Massachusetts Commonwealth,,,,,Government,"The Government of Massachusetts administrated the most populous state in New England and was a pivotal player in the events of the Revolutionary War. Officially became a state in 1780 after the ratification of John Adams’ state constitution. The pressure of wartime debts and late army commissions finally erupted in the populist Shay’s Rebellion (1786-1787), which convinced leaders like George Washington to strengthen the powers of the national government. In 1820, Maine separated from Massachusetts and became its own state.","The organizational type, ""government,"" includes governmental bodies and other agents of the government like elected or appointed officials and members of the military.",,https://en.wikipedia.org/wiki/History_of_Massachusetts,
,meetcoho,,Cohorse Friends meeting,,,,,Local meeting,"Meeting for worship in Cohorse, Vermont, near the New Hampshire border.",,neym,,
,meetcoleb,,Colebark Friends meeting,,,,,Local meeting,"Evans held a meeting in Colebark, New York, near Amawalk.",,nyym,,
,meetconco,,Concord  Friends meeting,,,,,Local meeting,The Concord Quarterly Meeting of Friends established Concord Monthly Meeting (formerly known as Chichester) in 1684. It split into Orthodox and Hicksite branches that reunited in 1937 under the Concord Quarterly Meeting of Friendss.,,pym,http://trilogy.brynmawr.edu/speccoll/mm/concomm.xml,
,friconcord,,Concord Quarterly Meeting of Friends,,,,,Quarterly meeting,"Chester Quarterly Meeting of Friends was established by Philadelphia Yearly Meeting in 1683; its first business sessions opened in 12mo 1683/84. In 1800, the name of this meeting was changed to Concord.",,pym,http://trilogy.brynmawr.edu/,
,conestoga,http://id.loc.gov/authorities/subjects/sh85030821,Conestoga indians ,Susquehannock,,,,Indian group,"Sometimes known as Conestoga or Susquihanna, they lived along the river named after them that flows from southern New York to central and eastern Pennsylvania. Spoke an Iroquoian dialect. Their location on the Susquehanna River was an advantageously located trading spot because it connected western fur sources with eastern trade goods. The Susquehannock feuded with the Iroquois for much of the 17th century, but hostilities ceased upon the establishment of the New York-sponsored Indian-White Covenant Chain in 1677. As a result, many Susquehannock dispersed among their Iroquois and Delaware onetime-enemies. Through the Iroquois Wars with Canada as well as disease epidemics, the Susquehannock population declined sharply around this time. In about 1690, a few returned to their homeland and established Conestoga village (“Place of the Upright Pole”) in what is today Lancaster County. This was the location where, alongside other tribes, they famously made a treaty with William Penn in 1701. In 1763, a band of rough backwoods settlers called the “Paxton Boys” attacked the Susquehanna, after which the survivors moved to Ohio and intermarried with Mingo people.",,,https://en.wikipedia.org/wiki/Susquehannock;https://en.wikipedia.org/wiki/Covenant_Chain;Handbook of the North American Indians,
,congregation,,Congregational Church,,,,,Religious group,"A Protestant movement in which each congregation runs its affairs independently and autonomously. This style of church was particularly prevalent in Massachusetts and Connecticut. Congregationalists founded Harvard College in 1636 to train ministry. By start of 19th century, most Congregational churches became Unitarian in theology. In 1801 they adopted a Plan of Union with the Presbyterians for joint missionary activity in the western territories, including into New York and the Old Northwest, for the next fifty years. Their theological and social policies were generally liberal for the era. ",,,https://en.wikipedia.org/wiki/Congregational_church;https://www.britannica.com/topic/Congregationalism,
,cond7,,Convention of Delegates of the Seven Yearly Meetings,,1867,,,review,"An association of seven Hicksite Yearly Meetings that managed Indian affairs in the northwestern territories from the mid to late 19th centuries. In 1867, held a conference in Baltimore attended by the Indian Committees of the Baltimore, Philadelphia, New York, Genesee, Ohio, Indiana, and (after 1875) Illinois Yearly Meetings, which sent a letter to the US Government expressing their interest in public service. In 1869, President Grant announced that the Hicksites would administer the Northern Superintendency, which covered most of Nebraska.",,pym;bym;nyym;gym;iym,http://www.swarthmore.edu/Library/friends/ead/4017code.xml,
,meetcores,,Core Sound meeting,,1733,,,Local meeting,"Core Sound, located in Carteret County, North Carolina, became a monthly meeting in 1737. It was a place of worship as early as 1733 under Pasquotank.",,ncym,,
,meetcornw,,Cornwall Friends meeting,,1777,,,Local meeting,"Cornwall, formerly New Cornwall Preparative Meeting, was reportedly established in 1777 as a part of Nine Partners Monthly Meeting, having been indulged as a meeting for worship since 1773. It was set off to Creek Monthly Meeting on its establishment in 1782 and became a part of Cornwall Monthly Meeting in 1788. A",,nyym,http://trilogy.brynmawr.edu/,
,cree ,http://id.loc.gov/authorities/subjects/sh85033881,Cree indians,Christineaux,,,,Indian group,"Also called “Christineaux” by French. An Algonquian-speaking people located north and west of Lake Superior, as well as in Montana. Originally an Eastern Woodland people, some Cree began moving west in reaction to the ecological changes caused by the fur trade in the late 18th and early 19th centuries, although other historians believe the move occurred centuries earlier. Some Cree became more dependent on the French trading posts in Rocky foothills, while others went south to become buffalo hunters. By 1790s, these later had fully become distinct “Plains Cree,” hunting game in the Woodlands in summer and buffalo in the winter. From 1806-1836, they maintained a middleman position between European traders and other Plains tribes. Though unable to procure horses for some time, the Cree were successful in the Horse Wars period between 1810-1850 because they largely escaped smallpox infection.",,,https://en.wikipedia.org/wiki/Cree;Handbook of the North American Indians,
,creek,http://id.loc.gov/authorities/subjects/sh85033891,Creek indians,Maskoki;Muscogee;Muskogee;Muskoki;Mvskoke;Mvskokvlke;Caouitas;Canitas;Coweta,,,,Indian group,"The Muscogee (traditionally spelt Mvscoke, called “Creek” because of their location on the Ochese creek) were a complex organization of Muscogean-speaking tribes in the Southeastern United States. They were also one of the Five Civilized Tribes, a group of Indian tribes who had adopted several European practices and technologies. By the early 18th century the Muscogee regularly traded with English colonists, the Lower Creek undergoing several cultural changes due to their close proximity with colonists, while the Upper Creek stayed largely distant. With the post-Revolutionary War collapse of the deerskin trade, the Creeks were pressured to cede lands through a series of treaties. They violently resisted over the course of the Creek War (1813-1814), but were broken by the devastating loss of Horseshoe Bend and forced to make major cessions in the Treaty of Fort Jackson. The Creek signed an 1832 agreement to relocate to Oklahoma, and after a brief struggle, were forcibly escorted along the Trail of Tears.",,,https://en.wikipedia.org/wiki/Muscogee;http://www.georgiaencyclopedia.org/articles/history-archaeology/creek-indians,
,meetcreek,,Creek Friends meeting,,1776,,,Local meeting,"Creek Preparative Meeting was reportedly established in Clinton, New York in 1776. Creek Monthly Meeting was established in 1782, set off from Nine Partners Monthly Meeting, under Purchase Quarterly Meeting of Friends.",,nyym,http://trilogy.brynmawr.edu/,
