done_or_not,id_tei,lcnaf_uri,last_name,first_name,middle_name,display_name,other_names,birth_date,death_date,birth_place,death_place,gender,affiliations,bio_notes,data_notes,citations,notes,PYM index,Possible Duplication or other correction needed
done,jalle1,,Allen,Jane,,Jane Allen,Jane Alden ,,,,,f,friends;galwamm,"Jane Rushmore dt of Thomas & Abigail Griffen of Coeymans, NY. Married Humphrey, son of Benjamin & Nancy Allen in Rensselaerville in1825. Later member of Galway Monthly Meeting.",Also referred to in journals as Jane Alden. ,Hazard,Wife of halle1,,
done,jalle3,,Allen,Jediah,,Jediah Allen,,1765,1818,shrew,shrew,m,friends;meetshrew,"Member of Shrewsbury Monthly Meeting. Married to Ann and had son George. Date of birth is that of Jediah Allen, son of Joseph and Hannah Allen, likely the same person. Subscriber who pledged money to promote civilization of Natives in 1805.",,Hazard,,,
done,jalle2,,Allen,Jon,,Jon Allen,,,,,,m,friends;meetking,John Peirce lodged with him in Kingwood in 1796. John Allen married Mary Large in 1778. John Allen Sr. died in Kingwood in 1823 at the age of 76.,,Kingwood Monthly Meeting records,,,
done,jalle4,,Allen,Joseph,,Joseph Allen,,1763,1837,shrew,shrew,m,friends;meetshrew,Member of Shrewsbury Monthly Meeting. Son of Joseph and Hannah Allen. Married Sarah Colies in 1812. Subscriber who pledged money to promote civilization of Natives in 1805.,,Hazard,,,
done,salle1,,Allen,Stephen,,Stephen Allen,,1767,1852,,nycit,m,review;usag,Mayor of New York City from 1821-24. Appointed to investigate state prisons in NY.,,https://en.wikipedia.org/wiki/Stephen_Allen,,,
done,walle1,http://id.loc.gov/authorities/names/n83007775,Allen,William,,William Allen,,1770,1843,lond,lond,m,friends,"British philanthropist, Quaker minister, and abolitionist. Correspondent of Thomas Eddy with regard to prisons. Founder of the British & Foreign School Society, publisher of ""The Philanthropist""",,DQB; https://en.wikipedia.org/wiki/William_Allen_(Quaker),,,
done,allig1,,Alligator,,,Alligator,Billy Bowlegs;Alligator King;Billy Bolek,1810,1859,,oklah,m,seminole,Seminole chief from Florida. Fought in the 2nd and 3rd Seminole Wars. Settled in Cherokee land. ,,https://en.wikipedia.org/wiki/Billy_Bowlegs,Birthdate is approximate.,,
done,oalmy1,,Almy,Obadiah,,Obadiah Almy,,,,,,m,friends;meetdanby,"In 1825 Obediah Almy married Rhoda Barrett (rbarr1), Jun. dt of Jazah & Rhoda At Danby. He was the son of Christopher& Lydia Almy.",,Hazard,,,
done,talmy1,,Almy,Thomas,,Thomas Almy,Thomas Almey,,,,,m,friends,"Evans says that he was from ""Schoharry County Dunlough township about 28 miles from Cooperstown, 14 miles from Cherry Valley."" Evans held a Meeting in his barn in 1796.",,,,,
done,walmy1,,Almy,William,,William Almy,,1761,1836,,provi,m,friends;neym,"Spoke at Rhode Island Quarterly Meeting of Friends in 1825. Friends minsiter. Clerk of New England Yearly Meeting (1787, 1798-1800).",Birth date is approximate,DQB,,,
done,jalso,,Alsop,John,,John Alsop,,1753,,westb,,m,friends;meetwestb;meetscipio,"In 1825 John Alsop was an older Quaker who lived in Athens, across the River from Hudson. John had moved to this area in 1794 from New York Monthly Meeting. He is probably the same John Alsop who was born in Westbury on Long Island, the son of Richard and Sarah Alsop. He was granted a certificate to Scipio Monthly Meeting in 1830. His son, Thomas J., had moved to Scipio in 1814.",,Hazard,,,
done,jamhe1,http://id.loc.gov/authorities/names/n83179171,Amherst,Jeffery,,General Amherst,Jeffrey Amherst,1717,1797,,,m,brit,Led Canada expedition in French War,,"https://en.wikipedia.org/wiki/Jeffery_Amherst,_1st_Baron_Amherst",,,
done,candr1,,Andrews,Charles,,Charles Andrews,,,,,,m,brit,Officer of 24th British regiment,,,,,
done,jandr1,,Andrews,Jenny,,Jenny Andrews,,,,,,f,stockbridge,Signed a letter to female Quakers in 1797.,,,,,
done,mandr1,,Andrews,,,Major Andrews,,,,,,m,review,Dined with Jacob Lindley in Ohio.,,,,,
done,pandr1,,Andrews,Peter,,Peter Andrews,,1707,1756,eggha,,m,friends,Quaker minister from New Jersey.,,"Heiss, Quaker Biographical Sketches (1972); DQB",,,
done,janth1,,Anthony,Jacob,,Jacob Anthony,Jacob Antony,,,,,m,sxntns,Six Nations chief who signed the 1837 Remonstrance at Buffalo Creek to the President of the United States protesting removal to the west. Also signed the 1821 Complaint at Oneida Castle.,,,,,
done ,rarms1,,Armstrong,Robert,,O-No-Ran-Do-Roh,Robert Armstrong,1775,1825,pitts,usand,m,wyandot;metho,"Captured by the Wyandots when he was eight, he was adopted into the Big Turtle Clan. He married twice, the first to a Wyandot woman, and later to the half-Indian daughter of Isaac Zane. He was a noted interpreter and assisted in Methodist missionary work among the Wyandots. ",Wyandot name from cited work.,http://www.wyandotte-nation.org/culture/history/biographies/robert-armstrong/,,,
done,farno1,,Arnold,Frederick,,Frederick Arnold,,,,,,m,dunkers,"Member of society of Dunkards,  former resident of Pennsylvania, who lived along Detroit River. Lodged Jacob Lindley, Joseph Moore, and William Hartshorne. Possibly the same Frederick Arnold (1771-1828) who was buried in Fetters Cemetery in Fairfield County, Ohio in 1828. ",,cite,,,
done,sash1,,Ash,Sylvester,,Sylvester Ash,,,,,,m,shawnee,"Captured in Kentucky in the early 1780s, Sylvester Ash worked as an interpreter among the Shawnee in the 1790s.",,,,,
done,jaski1,,Askin,John,,John Askin,John Arken,1739,1815,irel,sandw2,m,review; brit,"Merchant, fur trader, and Justice of the Peace in Detroit. Provided lodging for Jacob Lindley and William Hartshorne.",Name from cited work.,https://en.wikipedia.org/wiki/John_Askin,,,
,aallm1,,Attmore,Anne,,Anne Attmore,,1743,1813,,,f,friends,"In a letter from New Stockbridge dated 1790, Joseph Sansom concluded a letter asking to be remembered to Friends families, Attmore's being one of them. Ann Lippincott married Caleb Attmore, a Philadelphia Friend, under the care of Burlington in 1760. She died in 1813 at the age of 70.",Birth date is approximate,Hinshaw,,,
done,augu1,,Augur,,,General Augur,General Christopher C. Augur,1821,1898,,geort,m,usag,Appointed to the Indian Peace Commission of 1867-68. Signed Peace Commissioners' Report (1868),,"Oman, Kerry R., ""The Beginning Of The End The Indian Peace Commission Of 1867~1868"" (2002). Great Plains Quarterly. Paper
 2353.
http://digitalcommons.unl.edu/greatplainsquarterly/2353; https://en.wikipedia.org/wiki/Christopher_C._Augur",,,
done,haupa1,http://id.loc.gov/authorities/names/n91127791,Aupaumat,Hendricks,,Captain Hendricks,Hendricks Aupaumet;Hendricks Apaumet;Hendricks Apaumut;Captain Hendricks Aupaumut;Captain Hendrick;Hendrick Aut.,1757,1830,stock2,kaukau,m,stockbridge;mahican,"Stockbridge chief. Interpreted for Stockbridge, signed 8 letters; dealt closely with Isaac Coates, Joseph Clark, Jacob Lindley, Joseph Moore, John Peirce, Joshua Sharpless, Dorothy Ripley, and William Hartshorne.",1757 date is approximate. Variant names from journals and cited work.,https://de.wikipedia.org/wiki/Hendrick_Aupaumut,Father of ahend1 and shend1;husband of lquin1,"21, 25, 78, etc",
done,eaust1,,Austin,E,,E. Austin,,,,,,u,review,Lived in Ohio and was asked by Thomas Eddy to forward a letter.,,,,,
,wayre1,,Ayres,William,,William Ayres,William Dyres,,,,,m,review,"Lived in Potter County, Pennsylvania, adjacent to a road from Presque Isle and the head of the Delaware. In 1807 he was one of the first people to visit Potter County, and settled there a year later.  ",,http://www.allenbowen.com/HPC.pdf,,,
done,sbabs1,,Babb,Sampson,,Samson Babb,Sampson Babs,1740,1814,,morrist,m,review,"Early settler along Pine Creek, built. saw/grist mill, Former resident of Chester County, Pennsylvania. Visited by Isaac Coates and Rebecca Cooper.",,Ancestry.com,,,
done,gbabo1,,Babor,George,,George Babor,George Beeber;George Bieber,1761,1846,germ,muncy,m,review,"Probably Johannes George Bieber who was born in Germany in 1761 and died in Muncy, Pennsylvania, in 1846. Visited by James Cooper.",,Ancestry.com,,x,
done,gbach1,,Bachelor,George,,George Bachelor,,,,,,m,review,"Resided between Berlin and Connelstown, Pennsylvania, in Somerset county. Mentioned by Isaac Coates.",,,,,
done,wback1,,Backhouse,William,,WIlliam Backhouse,,,,,,m,review,"""William Backhouse lived kept boarders of a high class. He charged rather high, viz., eight dollars a week, and a dollar extra for washing. John J. Glover boarded there, and so did dozens of our first merchants. Wm. Backhouse himself was a very successful merchant in after years. In 1790 he was a partner with William Laight, and they did business at No. 200 Queen street. I think William Backhouse died in 1792. About that time there was another William Backhouse in this city. He was Captain Backhouse, a celebrated sea captain in his day."" Boarded Thomas Eddy on Wall Street.",,"The Old Merchants of New York City (Second  Series), by  Walter Barrett,1863",,,
done,dbaco1,,Bacon,David,,David Bacon,,1729,1809,newje,phila,m,friends;meetphila,"David Bacon, son of John, married Mary Trotter in 1751. He died in Philadelphia in 1809 at the age of 80. Active in Philadelphia Yearly Meeting. Attended 1794 Indian Treaty in Canandaigua. Accompanied Nicholas Waln to England and Ireland in 1795. Friend of Joseph Moore; signed 5 letters regarding Indian affairs.",,Hinshaw; DQB,,"58, 63, 79, etc",
done,jbaco1,,Bacon,Job,,Job Bacon,,1735,1801,,phila,m,friends;meetphila,"Job Bacon, son of John and Elizabeth, married Mary Lownes in Philadelphia in 1774. He was buried in Philadelphia in 1801 at the age of 65 years. Signed a letter to the Indians in 1795.",,Hinshaw; Drinker,,,
done,jbadg1,,Badger,Joseph,,Joseph Badger,,1757,1852,,,m,baptists,Missionary among the Upper Sandusky Wyandots. Recorded a letter from the Wyandots to Quakers in Baltimore in 1805 at Upper Sandusky.,,"A Memoir of Rev. Joseph Badger: Containing an Autobiography, and Selections ..., By Joseph Badger;http://www.ohiohistorycentral.org/w/Badger,_Joseph",,,
done,dbake1,,Baker,David,,David Baker,,1745,,swans,,m,friends;meetsara;meethoosi,"Born in Swansea, Massachusetts in 1745, David Baker married Peace Chase in 1768. The family moved from East Hoosack to Saratoga in 1801. ",,Hazard,,,
done,ebake1,,Baker,Elisha,,Elisha Baker,,1773,1840,crans,illinois,m,friends;meethamb,"Elisha Baker was born in Cranston, Rhode Island, the son of William and Martha. He married Elizabeth, daughter of Samuel and Mary Dean. He died at the age of 67 in Knox County, Illinois.",,,Father of ebake2,,
done,ebake2,,Baker,Elisha,D.,Elisha D. Baker,,1818,1842,easto,buffa,m,friends;meethamb,"The son of Elisha and Elizabeth, Elisha D. died in Buffalo in 1842 at the age of 20.",,,Son of ebake1,,
done,gbake1,,Baker,George,,George Baker,,,,,,m,review,"From Philadelphia, cousin of WIlliam Baker, Detroit shipwright.",,,,,
done,wbak,,Baker,William ,,William Baker,,,,,,m,review,"Shipwright in Detroit. A ""Friend in principle.""",,,,,
done,jbald1,,Baldwin,Jonathan,,Jonathan Baldwin,,,,,,m,friends;iym,Appointed by Indiana Yearly Meeting to report on Friends' Shawnee Mission in 1861. Member of Committee on the Examination of the School Establishment Among the Shawness; signed report to Indiana Yearly Meeting (1861),,,,,
done,bald1,,Baldwin,,,Mr. Baldwin,,,,,,m,review,"Originally from from Newlin, owned sawmill near Pittsburgh.",,,,,
done,pbald1,,Baldwin,Peter,,Peter Baldwin,,,,,,m,review;tonaw,"Interpreter for chiefs of Tonnewanta, strongly opposed to the Christian Party.",,https://books.google.com/books?id=sNjfKxAZrg8C&pg=PA98&lpg=PA98&dq=peter+baldwin+tonnewanta&source=bl&ots=0MfkAScoSH&sig=-Ew9Z7cBNhaGI4OOIB6NST32g-s&hl=en&sa=X&ved=0ahUKEwjnqIygnLfNAhXETSYKHSrYBRUQ6AEIMzAE#v=onepage&q=peter%20baldwin%20tonnewanta&f=false,,,
done,sbald1,,Baldwin,Samuel,,Samuel Baldwin,,1754,1837,uwch,uwch,m,friends;meetcornw;meetuwchl,"Probably the same Samuel Baldwin who was granted a certificate from Uwchlan Monthly Meeting to Cornwall in 1795. This Samuel Baldwin returned to Chester County in 1802. Lived near Rosendell stream/Poughkeepsie, lodged Isaac Coates and Joshua Sharpless.",,,,,
done,wbanl1,,Banlin,William,,William Banlin,,,,,,m,review,Mentioned in financial records of NYYM.,,,,,
done,jbarb1,,Barbour,James,,James Barbour,,1775,1842,barbour,barbour,m,usag,"Lawyer, Governor of Virginia, and United States Secretary of War. Supported the removal of the Creek Indians to lands west of the Mississippi.",,https://en.wikipedia.org/wiki/James_Barbour,,,
done,rbarc1,,Barclay,Robert,,Robert Barclay,,1648,1690,moray,,m,friends,"Influental early Scottish Quaker and author of the ""Apology for the True Christian Divinity"" which heled systematize the principles of Quakerism.",,DQB; https://en.wikipedia.org/wiki/Robert_Barclay,,,
done,jbark3,,Bark,John,,Gua-sa-we-dah,John Bark,,,,,m,sxntns;seneca,Seneca Indian chief who signed the 1838 Treaty at Buffalo Creek.,,1838 treaty,,,
done,abark2,,Barker,Abigail,,Abigail Barker,Abigail Drinker,1773,1840,,burli,f,friends;meetburl,"Daughter of Daniel and Elizabeth Hart Drinker. Married Peter Barker 1795. Granted a certificate from Richland to Burlington Monthly Meeting in 1813, and then to New York in 1826 but the latter certificate was returned. Became a minister in Burlington. She died in 1840 in Burlington.",,Hinshaw,Wife of pbark1,,
done,abark1,,Barker,Abner,,Abner Barker,,,,,,m,review,Resident of Pittsburgh. ,,,,,
done,cbark1,,Barker,Caleb,,Caleb Barker,,,1852,,pough,m,friends;meetmarlb;meetosweg,"Caleb Barker, the son of David and Lydia, married Rachel Sands at Marlborough Meeting in 1819. They were later members of Oswego Monthly Meeting and lived in Poughkeepsie. Caleb died in 1852 at the age of 66.",,Hazard,Husband of rbark1,,
done,jbark1,,Barker,Jesse,,Jesse Barker,,,,,,m,review,Resident of Pittsburgh.,,,,,
done,jbark2,,Barker,John,,John Barker,,,,,,m,friends;eastmeet;nym;nymind,Appointed by New York Yearly Meeting's Committee on Indian Concern. The birth of a John Barker was recorded by Easton Monthly Meeting as 1757; this John Barker died there in 1842.,,Hazard,,,
done,pbark1,,Barker,Peter,,Peter Barker,,,,,,m,friends;meetphila;pymind,Merchant. Married Abigail Drinker in 1795. Member of Philadelphia Yearly Meeting's Committee on Indian Affairs. ,,,Husband of abark2,,
done,rbark1,,Barker,Rachel,,Rachel Barker,Rachel Sands,,,,,f,friends;meetmarlb;meetosweg,"Rachel Barker, the daughter of Benjamin and Amy Sands, married Caleb Barker at Marlborough Meeting in 1819. They were later members of Oswego Monthly Meeting and lived in Poughkeepsie.",,Hazard,Wife of cbark1,,
done,wbarl1,,Barling,William,P.,Wiliam P. Barling,,,,,,m,review,Examined a New York Yearly Meeting receipt.,,,,,
,hbarn1,,Barnard,Hannah,,Hannah Barnard,Hannah Barnet,1754,1825,,,f,friends,"A Quaker minister from Hudson, New York, which she had moved to in the 1780s. Hannah Barnard oftentimes served as a representative to the quarterly and yearly meetings, and travelled throughout New York and New England in the 1790s hosting local meetings. She visited England in 1798 but was censured by London Yearly Meeting and subsequently disowned by Hudson. A controversial figure.",birth date is approximate,"Friends' Intelligencer and Journal, Volume 55;Notable American Women, 1607-1950 Volume 3.",,,
done,rbarr1,,Barrett,Rhoda,,Rhoda Barrett,,1801,,danby,,f,friends,In 1825 Rhoda Barrett Jun. dt of Jazah & Rhoda at Danby. married Obediah Almy (oalmy1). He was the son of Christopher& Lydia Almy.,,Hazard,,,
done,jbarr1,,Barrow,John,,John Barrow,John Barron;John Barra,,,,,m,friends;meetshrew;meetny;nymind,"John Barrow was received in New York on a certificate from Lancaster, England in 1784. He married Mary at Shrewsbury in 1790. Barrow served as treasurer and clerk of the Committee on Indian Affairs, and was appointed to prepare report and for the Governor of NY.",,Hazard,,,
done,abart1,,Barton,Ashby,,Ashby Barton,,,,,,f,review,"Daughter of Joseph and Rosanna. In 1825 a widow with a daughter, Mary.",,,,,
done,jbart1,,Barton,Joseph,,Joseph Barton,,,,,,m,friends;meethudson,Joseph Barton was a member of Hudson Monthly Meeting but was disowned and reinstated several times.,,Hazard,Husband of rbart1,,
done,rbart1,,Barton,Rosanna,,Rosanna Barton,,,,,,f,friends;meethudson,"Rosanna Barton, a member of Nine Partners, married Joseph Barton ""contrary to discipline"" before 1795. wife of Joseph Barton. She acknowledged and transferred to Hudson in 1795.",,Hazard,Wife of jbart1,,
done,ibass1,,Bassett,Isaac,,Isaac Bassett,,,,,,m,friends,"Quaker in Boston, married to Mary.",,,Husband of mbass1,,
done,mbass1,,Bassett,Mary,,Mary Bassett,,,,,,f,friends,"Quaker in Boston, married to Isaac.",,,Wife of ibass1,,
done,bass2,,Bassett,,,Rev. Bassett,,,,,,m,review,Minister in Albany,,,,,
done,bbate1,,Bates,Benjamin,,Benjamin Bates,,,,,,m,friends;meetupper,Clerk of Upper (Dinwiddie County) Monthly Meeting in Virginia.,,,,,
done,fbate1,,Bates,Frederick,,Frederick Bates,,,,,,m,review,Young man descended from Friends living in Detroit. Hosted Gerard Hopkins.,,,,,
done,jbatt1,,Battey,Jonathan,,Jonathan Battey,,,,,,m,friends;meetfarmi;meetbutte;meetsmith,Signed receipts in Farmington in 1817 and 1818. Jonathan Battey married Amy Comstock at Farmington in 1819. Son of Jesse and Nancy Battey. Received at Butternuts from Smithfield in 1815.,,Hazard,,,
done,fbaub1,,Baubee,Fransey,,Francois Baby,Fransey Baubee,1733,1820,montr,quebe,m,review;cangov,"Businessman, militia officer, politician, and landowner in Lower Canada.",,http://www.biographi.ca/en/bio/baby_francois_1733_1820_5E.html,,,
done,wbaya1,,Bayard,William,,William Bayard,,1761,1826,,,m,review,"Chairman of the New York Committee on the Erie Canal. Son of Tory merchant William Bayard. Married Elizabeth Cornell in 1783. Land speculator, President of the Bank of America.",,http://www.eriecanal.org/texts/Whitford/1906/Chap02.html; Drinker,,,
done,jbeau1,,Beaubien,Jonathan,,Jonathan Beaubien,,,,,,m,review,Witness to the 1795 Treaty.,,,,,
done,lbeau1,,Beaufait,Lewis,,Lewis Beaufait,,,,,,m,review,Witness to the 1795 Treaty.,,,,,
done,beav1,,Beaver,,,Tamaqua,The Beaver,,,,,m,delaware,Delaware chief.,,,,,
done,sbeck1,,Becket,Samuel,,Samuel Becket,,,,,,m,friends;meetpelh,Early member of Pelham Monthly Meeting in Upper Canada,,,,,
done,jbedi1,,Bedient,John,,John Bedient,,,,,,m,review,Lived along along Raisin River and lodged Gerald Hopkins.,,,,,
,jbelk1,,Belknap,Jeremiah,,Jeremiah Belknap,,1744,1798,boston,boston,m,congregation,"Congregational minister in Dover, New Hampshire, for 20 years. Author of the ""History of New Hampshire"" and ""American Biographies."" Chaplain to New Hampshire troops in the Revolutionary War. From 1787 until his death, worked as the pastor of Federal Street Church in Boston and continued to promote historical research.",,https://en.wikipedia.org/wiki/Jeremy_Belknap,,,
done,abell1,,Bell,Andrew,,Dr. Andrew Bell,,,,,,m,review;episc,Scottish Episcopalian priest and educationalist who pioneered the Madras System of Education.,,https://en.wikipedia.org/wiki/Andrew_Bell_(educationalist),,,
done,jbell1,,Bell,John,,John Bell,,,,,,m,review,"King's settlement carpenter, originally from north England. Married to Mary Bell and had six or seven children.",,,Husband of mbell1,,
done,jbell2,,Bell,John,,John Bell,,,,,,m,review,"Military surgeon, accompanied American squadron in expeditions on the coast of Africa against Dey of Tripoli and storming Deane. Dined with Sutcliffe.",,,,,
done,mbell1,,Bell,Mary,,Mary Bell,,,,,,f,review,Lived in King's Settlement.,,,Wife of jbell1,,
done,abene1,,Benezet,Anthony,,Anthony Benezet,,1713,1784,franc,phila,m,friends;meetphila;meetburli,"Quaker abolitionist and educator in Philadelphia. His ""bias and exertions"" were ""united"" by Thomas Eddy",,DQB; https://en.wikipedia.org/wiki/Anthony_Benezet,,,
done,jbenn2,,Bennett,Jacob,,Ho-ma-ga-was,,,,,,m,sxntns;seneca,"Chief, signed 1837 Remonstrance at Buffalo Creek.",,1838 treaty,,,
done,jbenn1,,Bennit,James,,James Bennet,James Bennit,,,,,m,review,"James Bennett and his brother-in-law, Col. John Harris, operated a ferry across Cayuga Lake. Bennett and Harris moved from Harrisburg to upstate New York in 1789.",,"History of Cayuga County, New York, p. 402",,,
done,rbenn1,,Bennit,Rushmore,,Rushmore Bennit,,,,,,m,friends;meetrenss,Grandson of Thomas Rushmore. Member of Rensselaerville Meeting in 1830.,,Hazard index,,,
done,cbent2,,Bent,George,,Ho-my-ike,George Bent;Colonel Bent,1843,1918,,,m,cheyenne,Testified before Joint Special Committee of Congress in 1867 that difficulties with Indians is a result of white aggression.,,https://en.wikipedia.org/wiki/George_Bent,,,
done,jbent2,,Bentham,Jeremy,,Jeremy Bentham,,1748,1832,,,m,review,British philosopher,,https://en.wikipedia.org/wiki/Jeremy_Bentham,,,
done,cbent1,,Bentley,Caleb,,Caleb Bentley,Caleb Bently,,,,,m,friends;meetwarri;meetfairf,"Caleb Bentley, son of Joseph and Mary of Chester Conty, Pennsylvania, transferred his membership from Warrington to Fairfax Monthly Meeting in 1786. He married Sarah Brooke in 1791 at Sandy Spring; after her death he married Henrietta Thomas.",,Hinshaw,,,
done,jbent1,,Bentley,John,,John Bentley,,,,,,m,review,Involved in the delivery of agricultural tools for Baltimore Yearly Meeting.,,,,,
done,berr1,,Berry,,,Berry,,,,,,m,review,"Lived along Tioga River, about ten miles from Painted Post, New York.",,,,,
done,gberr,,Berry,Gilbert,,Gilbert Berry,,,,,,m,review,"Lived on the bank of the Genesee River, about thirty miles south of Ontario.",,,,,
done,jberr1,"http://www.worldcat.org/identities/np-berry,%20jack$seneca%20chief$d%201839/",Berry,Jack,,Jack Berry,,,1839,,,m,seneca,"Seneca chief and interpreter. From Little Beard's town, established a settlement at Jackstown in Gardenville, New York. Signed Remonstrance of Chiefs (1837)",,"Conspiracy of Interests: Iroquois Dispossession and the Rise of New York State, By Laurence M. Hauptman",,,
